#SUBMITTED ID	FEATURE_TYPE	NAME	SYMBOL	UNIPROT_FUNCTION	UNIPROT_PROTEIN_FAMILY
FBgn0261549	SO0001217:protein_coding_gene	retinal degeneration A	rdgA	Required for the maintenance of phospholipid turnover within the photoreceptor.	Belongs to the eukaryotic diacylglycerol kinase family.
FBgn0001250	SO0001217:protein_coding_gene	inflated	if	Alpha-PS2/beta-PS is a receptor for Tig, wb and Ten-m. Involved in the function and/or development of the olfactory system.	Belongs to the integrin alpha chain family.
FBgn0036019	SO0001217:protein_coding_gene	Odorant receptor 67b	Or67b	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the behavioral responses to ethyl acetate, pentyl acetate, methyl caproate, anisole, heptanal, 2-heptanone, r-carvone, nonanoic acid, and pyrazines.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or63a subfamily.
FBgn0026396	SO0001217:protein_coding_gene	Odorant receptor 22c	Or22c	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or1a subfamily.
FBgn0023523	SO0001217:protein_coding_gene	Odorant receptor 2a	Or2a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0030016	SO0001217:protein_coding_gene	Odorant receptor 7a	Or7a	Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Highly sensitive to the sex pheromone of the silkworm moth, bombykol. Intriguingly, the fruit fly detectors are more sensitive than the receptors of the silkworm moth, although its ecological significance is unknown. Responds also to pyrazines.	Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
FBgn0050145	SO0001217:protein_coding_gene	Odorant-binding protein 57e	Obp57e	Present in the aqueous fluid surrounding olfactory sensory dendrites and are thought to aid in the capture and transport of hydrophobic odorants into and through this fluid.	Belongs to the PBP/GOBP family.
FBgn0043533	SO0001217:protein_coding_gene	Odorant-binding protein 56f	Obp56f	-	-
FBgn0011279	SO0001217:protein_coding_gene	Odorant-binding protein 69a	Obp69a	Odorant-binding protein required for olfactory behavior and activity of pheromone-sensitive neurons in response to the male-specific pheromone cis-vaccenyl acetate (cVA). Modulates social responsivity differently in males and females, regulating male aggression and female receptivity respectively.	Belongs to the PBP/GOBP family.
FBgn0039685	SO0001217:protein_coding_gene	Odorant-binding protein 99b	Obp99b	Present in the aqueous fluid surrounding olfactory sensory dendrites and are thought to aid in the capture and transport of hydrophobic odorants into and through this fluid.	Belongs to the PBP/GOBP family.
FBgn0043532	SO0001217:protein_coding_gene	Odorant-binding protein 56i	Obp56i	-	-
